               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.020467,            0.011324,          0.00042353,             0.93645,               0.822,             0.87346,             0.48585,             0.03081,           0.0083931,          0.00073243,            0.003466,            0.003466,            0.003466
                 134,            0.019898,            0.011662,           0.0004395,             0.92063,             0.82062,             0.87126,             0.50207,            0.029978,           0.0086728,          0.00041784,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019985,            0.011631,          0.00035408,             0.90983,             0.80053,              0.8629,             0.48736,            0.030076,           0.0085788,          0.00059624,            0.003367,            0.003367,            0.003367
                 136,             0.01957,            0.011349,          0.00038358,              0.9014,             0.79639,             0.87161,             0.47358,            0.030435,           0.0088818,          0.00077497,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019458,            0.011139,          0.00066319,             0.88003,              0.8337,             0.86983,             0.49779,            0.030002,           0.0084811,          0.00043716,            0.003268,            0.003268,            0.003268
                 138,            0.019359,            0.011647,          0.00087112,             0.91037,             0.78687,             0.85327,             0.45367,            0.031532,           0.0087349,           0.0009277,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019883,             0.01119,          0.00052138,             0.94242,             0.78613,             0.86227,             0.49116,            0.030125,            0.008685,           0.0015923,            0.003169,            0.003169,            0.003169
                 140,            0.019815,            0.011613,          0.00050109,             0.91954,             0.79134,             0.87953,              0.5017,            0.029398,           0.0081572,           0.0013802,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019172,            0.011115,          0.00048284,             0.94989,             0.79196,             0.88332,             0.50238,            0.030747,           0.0082655,           0.0011238,             0.00307,             0.00307,             0.00307
                 142,            0.018772,            0.011447,          0.00048126,             0.86685,             0.83115,             0.88506,             0.49516,            0.031032,           0.0084996,           0.0014515,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018778,            0.010608,          0.00052973,             0.92101,             0.80828,             0.86834,             0.51033,            0.029994,           0.0087078,           0.0019393,            0.002971,            0.002971,            0.002971
                 144,             0.01843,            0.010762,          0.00074062,             0.91993,             0.81087,             0.89434,             0.53348,            0.028384,           0.0081509,           0.0012693,           0.0029215,           0.0029215,           0.0029215
                 145,            0.019296,            0.011817,          0.00037488,             0.93139,             0.83108,             0.88726,             0.47869,            0.029715,           0.0083187,           0.0020646,            0.002872,            0.002872,            0.002872
                 146,            0.019532,            0.011495,          0.00050028,             0.93971,             0.83769,             0.90585,             0.52023,             0.02848,           0.0075707,           0.0026859,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018229,            0.011181,          0.00040477,             0.94112,              0.7992,             0.88154,             0.52187,            0.029554,           0.0080109,           0.0026015,            0.002773,            0.002773,            0.002773
                 148,              0.0191,              0.0115,           0.0004978,             0.91307,              0.7985,             0.87461,             0.51858,            0.029379,           0.0084146,           0.0014622,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017854,            0.010884,          0.00057409,             0.91727,             0.81155,             0.87771,             0.50551,            0.030379,            0.008426,          0.00047297,            0.002674,            0.002674,            0.002674
                 150,            0.018332,            0.010876,          0.00052766,             0.93964,             0.81984,             0.88649,              0.5087,             0.03033,           0.0084575,           0.0010688,           0.0026245,           0.0026245,           0.0026245
                 151,             0.01873,             0.01104,          0.00040195,             0.93969,             0.81082,             0.87009,             0.51411,            0.029786,           0.0084898,           0.0013628,            0.002575,            0.002575,            0.002575
